Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt7767422,6,2026-08-18,"Sex Education","Sex Education",https://www.imdb.com/title/tt7767422,TV Series,8.2,60,2019,"Drama, Comedy, Romance",402463,"2019-01-11",
tt27205918,7,2026-08-18,"Chimp Empire","Chimp Empire",https://www.imdb.com/title/tt27205918,TV Mini Series,8.2,50,2023,"Documentary",4232,"2023-04-19",
tt0452694,1,2026-08-16,"The Time Traveler's Wife","The Time Traveler's Wife",https://www.imdb.com/title/tt0452694,Movie,7.1,107,2009,"Drama, Romance, Fantasy, Sci-Fi",167027,"2009-08-14","Robert Schwentke"
tt33764258,3,2026-08-01,"The Odyssey","The Odyssey",https://www.imdb.com/title/tt33764258,Movie,8.5,172,2026,"Adventure, Fantasy, Action",421535,"2026-07-17","Christopher Nolan"
tt5013056,8,2026-07-17,"Dunkirk","Dunkirk",https://www.imdb.com/title/tt5013056,Movie,7.8,106,2017,"War, Drama, Action, History, Thriller",822987,"2017-07-21","Christopher Nolan"
tt2463208,6,2026-07-11,"The Adam Project","The Adam Project",https://www.imdb.com/title/tt2463208,Movie,6.7,106,2022,"Sci-Fi, Action, Adventure, Comedy",261356,"2022-03-11","Shawn Levy"
tt33071426,6,2026-07-10,"The Drama","The Drama",https://www.imdb.com/title/tt33071426,Movie,7.1,105,2026,"Romance, Comedy, Drama",112125,"2026-04-03","Kristoffer Borgli"
tt10375624,6,2026-06-21,"Voicemails for Isabelle","Voicemails for Isabelle",https://www.imdb.com/title/tt10375624,Movie,7.3,118,2026,"Comedy, Romance, Drama",48449,"2026-06-19","Leah McKendrick"
tt21867434,7,2026-06-14,"BlackBerry","BlackBerry",https://www.imdb.com/title/tt21867434,Movie,7.3,120,2023,"Biography, History, Drama, Comedy",72112,"2023-11-13","Matt Johnson"
tt13406094,2,2026-06-03,"The White Lotus","The White Lotus",https://www.imdb.com/title/tt13406094,TV Series,8.0,60,2021,"Comedy, Drama, Mystery",331817,"2021-07-11",
tt0338013,7,2026-05-25,"Eternal Sunshine of the Spotless Mind","Eternal Sunshine of the Spotless Mind",https://www.imdb.com/title/tt0338013,Movie,8.3,108,2004,"Drama, Sci-Fi, Romance",1192634,"2004-03-19","Michel Gondry"
tt10166622,6,2026-05-24,"The Dropout","The Dropout",https://www.imdb.com/title/tt10166622,TV Mini Series,7.5,50,2022,"Drama, Biography",43462,"2022-03-03",
tt14855468,6,2026-05-17,"That Christmas","That Christmas",https://www.imdb.com/title/tt14855468,Movie,6.8,91,2024,"Animation, Comedy, Family, Fantasy, Adventure",20699,"2024-12-04","Simon Otto"
tt12042730,8,2026-04-05,"Project Hail Mary","Project Hail Mary",https://www.imdb.com/title/tt12042730,Movie,8.2,156,2026,"Sci-Fi, Adventure, Comedy, Drama",509766,"2026-03-20","Phil Lord,Christopher Miller"
tt29494110,1,2026-03-26,"Love Is Blind: Argentina","Love Is Blind: Argentina",https://www.imdb.com/title/tt29494110,TV Series,5.5,60,2024,"Reality-TV, Romance",306,"2024-11-06",
tt12005128,6,2026-03-16,"WeCrashed","WeCrashed",https://www.imdb.com/title/tt12005128,TV Mini Series,7.3,53,2022,"Drama, Biography",26171,"2022-03-18",
tt16311594,7,2026-03-15,"F1: The Movie","F1",https://www.imdb.com/title/tt16311594,Movie,7.6,155,2025,"Sport, Drama",386627,"2025-06-27","Joseph Kosinski"
tt14688458,5,2026-03-11,"Silo","Silo",https://www.imdb.com/title/tt14688458,TV Series,8.1,49,2023,"Drama, Sci-Fi, Mystery, Adventure",228276,"2023-05-05",
tt0107290,7,2026-01-29,"Jurassic Park","Jurassic Park",https://www.imdb.com/title/tt0107290,Movie,8.2,127,1993,"Sci-Fi, Adventure",1194289,"1993-06-11","Steven Spielberg"
tt7146812,5,2026-01-17,"Onward","Onward",https://www.imdb.com/title/tt7146812,Movie,7.3,102,2020,"Animation, Comedy, Family, Fantasy, Adventure, Drama",188577,"2020-03-06","Dan Scanlon"
tt2850386,4,2026-01-11,"The Croods: A New Age","The Croods: A New Age",https://www.imdb.com/title/tt2850386,Movie,6.9,95,2020,"Animation, Adventure, Comedy, Family, Fantasy",62561,"2020-11-25","Joel Crawford"
tt1994702,7,2025-12-30,"The Man of Your Dreams","El hombre de tu vida",https://www.imdb.com/title/tt1994702,TV Mini Series,8.0,45,2011,"Comedy, Romance",644,"2011-07-17",
tt1520211,7,2025-11-08,"The Walking Dead","The Walking Dead",https://www.imdb.com/title/tt1520211,TV Series,8.1,45,2010,"Horror, Drama, Thriller",1209365,"2010-10-31",
tt5180504,7,2025-11-08,"The Witcher","The Witcher",https://www.imdb.com/title/tt5180504,TV Series,7.8,60,2019,"Adventure, Fantasy, Mystery, Action, Drama",623731,"2019-12-20",
tt7826376,7,2025-11-08,"Upload","Upload",https://www.imdb.com/title/tt7826376,TV Series,7.7,30,2020,"Sci-Fi, Comedy, Mystery",91034,"2020-05-01",
tt29494111,7,2025-11-08,"Envious","Envidiosa",https://www.imdb.com/title/tt29494111,TV Series,7.3,30,2024,"Comedy, Drama, Romance",3835,"2024-09-18",
tt2250912,7,2025-11-08,"Spider-Man: Homecoming","Spider-Man: Homecoming",https://www.imdb.com/title/tt2250912,Movie,7.4,133,2017,"Action, Sci-Fi, Adventure",828258,"2017-07-07","Jon Watts"
tt8579674,7,2025-11-04,"1917","1917",https://www.imdb.com/title/tt8579674,Movie,8.2,119,2019,"War, Drama",782621,"2020-01-10","Sam Mendes"
tt32501190,5,2025-11-04,"Battle Camp","Battle Camp",https://www.imdb.com/title/tt32501190,TV Series,6.6,60,2025,"Game-Show, Reality-TV",1188,"2025-04-23",
tt23731242,5,2025-11-04,"Perfect Match","Perfect Match",https://www.imdb.com/title/tt23731242,TV Series,5.8,60,2023,"Reality-TV, Romance",3040,"2023-02-14",
tt2119532,8,2025-11-04,"Hacksaw Ridge","Hacksaw Ridge",https://www.imdb.com/title/tt2119532,Movie,8.1,139,2016,"Drama, War, History, Biography",693366,"2016-11-04","Mel Gibson"
tt4580372,8,2025-11-04,"Merlí","Merlí",https://www.imdb.com/title/tt4580372,TV Series,8.6,58,2015,"Drama, Comedy, Romance",11332,"2016-11-30",
tt1375666,5,2025-11-02,"Inception","Inception",https://www.imdb.com/title/tt1375666,Movie,8.8,148,2010,"Sci-Fi, Thriller, Adventure",2857034,"2010-07-16","Christopher Nolan"
tt16431870,6,2025-11-02,"The Family Plan","The Family Plan",https://www.imdb.com/title/tt16431870,Movie,6.3,118,2023,"Action, Comedy",65932,"2023-12-15","Simon Cellan Jones"
tt0247586,5,2025-11-02,"Nine Queens","Nueve reinas",https://www.imdb.com/title/tt0247586,Movie,7.9,114,2000,"Thriller, Drama, Crime",63518,"2000-08-31","Fabián Bielinsky"
tt34996428,5,2025-11-02,"Homo Argentum","Homo Argentum",https://www.imdb.com/title/tt34996428,Movie,5.8,98,2025,"Comedy",5318,"2025-08-14","Mariano Cohn,Gastón Duprat"
tt6751668,4,2025-11-02,"Parasite","Gisaengchung",https://www.imdb.com/title/tt6751668,Movie,8.5,132,2019,"Drama, Thriller",1188028,"2019-11-08","Bong Joon Ho"
tt10370710,5,2025-11-02,"The Worst Person in the World","Verdens verste menneske",https://www.imdb.com/title/tt10370710,Movie,7.7,128,2021,"Comedy, Drama, Romance",131259,"2021-10-13","Joachim Trier"
tt4873118,6,2025-10-26,"The Covenant","The Covenant",https://www.imdb.com/title/tt4873118,Movie,7.5,123,2023,"Action, Thriller, War, Drama",214751,"2023-04-21","Guy Ritchie"
tt21103218,7,2025-10-11,"The Lost Bus","The Lost Bus",https://www.imdb.com/title/tt21103218,Movie,6.8,130,2025,"Drama, Thriller, Biography, History",56313,"2025-10-03","Paul Greengrass"
tt4900148,6,2025-09-28,"Elio","Elio",https://www.imdb.com/title/tt4900148,Movie,6.6,98,2025,"Animation, Drama, Adventure, Family, Fantasy, Comedy, Sci-Fi",47810,"2025-06-20","Adrian Molina,Madeline Sharafian,Domee Shi"
tt21940010,7,2025-09-08,"A Million Miles Away","A Million Miles Away",https://www.imdb.com/title/tt21940010,Movie,7.3,121,2023,"Drama, Biography",26836,"2023-09-15","Alejandra Márquez Abella"
tt11704040,6,2025-09-01,"Love Is Blind","Love Is Blind",https://www.imdb.com/title/tt11704040,TV Series,6.2,60,2020,"Reality-TV, Romance",13617,"2020-02-13",
tt26675358,7,2025-09-01,"Love Is Blind: UK","Love Is Blind: UK",https://www.imdb.com/title/tt26675358,TV Series,6.9,50,2024,"Game-Show, Reality-TV, Romance",1503,"2024-08-07",
tt15677150,3,2025-09-01,"Shrinking","Shrinking",https://www.imdb.com/title/tt15677150,TV Series,8.2,33,2023,"Comedy, Drama",129337,"2023-01-27",
tt26451138,2,2025-08-18,"Community Squad","División Palermo",https://www.imdb.com/title/tt26451138,TV Series,7.6,30,2023,"Comedy, Crime",4521,"2023-02-17",
tt2281551,7,2025-08-09,"Vinyl Days","Días de vinilo",https://www.imdb.com/title/tt2281551,Movie,6.8,105,2012,"Comedy, Music, Romance",1316,"2012-09-27","Gabriel Nesci"
tt6668212,4,2025-08-04,"A Life of Speed: The Juan Manuel Fangio Story","Fangio: El hombre que domaba las máquinas",https://www.imdb.com/title/tt6668212,Movie,7.1,92,2020,"Documentary, Biography, Sport",2570,"2020-03-20","Francisco Macri"
tt13654226,6,2025-08-03,"The Gorge","The Gorge",https://www.imdb.com/title/tt13654226,Movie,6.7,128,2025,"Action, Romance, Sci-Fi, Adventure, Horror",178492,"2025-02-14","Scott Derrickson"
tt28309594,6,2025-07-28,"Nonnas","Nonnas",https://www.imdb.com/title/tt28309594,Movie,6.8,111,2025,"Comedy, Drama, Family",48945,"2025-05-09","Stephen Chbosky"
tt31806037,5,2025-07-21,"Adolescence","Adolescence",https://www.imdb.com/title/tt31806037,TV Mini Series,8.1,60,2025,"Crime, Drama, Thriller",313424,"2025-03-13",
tt7335184,1,2025-07-21,"You","You",https://www.imdb.com/title/tt7335184,TV Series,7.6,45,2018,"Drama, Crime, Thriller, Romance",373776,"2018-09-09",
tt32840410,6,2025-07-21,"Menem: The President Show","Menem",https://www.imdb.com/title/tt32840410,TV Series,7.4,,2025,"Drama, Biography, History",1269,"2025-07-09",
tt11280740,5,2025-07-14,"Severance","Severance",https://www.imdb.com/title/tt11280740,TV Series,8.6,50,2022,"Drama, Thriller, Mystery, Sci-Fi",401970,"2022-02-18",
tt27740241,7,2025-07-07,"The Eternaut","El Eternauta",https://www.imdb.com/title/tt27740241,TV Series,7.2,60,2025,"Drama, Sci-Fi, Action, Adventure",37414,"2025-04-30",
tt10986410,6,2025-07-07,"Ted Lasso","Ted Lasso",https://www.imdb.com/title/tt10986410,TV Series,8.7,30,2020,"Comedy, Drama, Sport",458046,"2020-08-14",
tt0816692,7,2025-07-07,"Interstellar","Interstellar",https://www.imdb.com/title/tt0816692,Movie,8.7,169,2014,"Sci-Fi, Adventure, Drama",2590700,"2014-11-07","Christopher Nolan"
tt1517268,6,2025-07-07,"Barbie","Barbie",https://www.imdb.com/title/tt1517268,Movie,6.8,114,2023,"Comedy, Adventure, Fantasy",702337,"2023-07-21","Greta Gerwig"
tt1632701,6,2025-07-07,"Suits","Suits",https://www.imdb.com/title/tt1632701,TV Series,8.4,45,2011,"Drama, Comedy",547152,"2011-06-23",
tt2085059,8,2025-07-07,"Black Mirror","Black Mirror",https://www.imdb.com/title/tt2085059,TV Series,8.7,60,2011,"Drama, Thriller, Sci-Fi, Mystery, Crime",745832,"2011-12-04",
tt2861424,7,2025-07-07,"Rick and Morty","Rick and Morty",https://www.imdb.com/title/tt2861424,TV Series,9.0,23,2013,"Animation, Adventure, Comedy, Sci-Fi",708219,"2013-12-02",
tt4574334,6,2025-07-07,"Stranger Things","Stranger Things",https://www.imdb.com/title/tt4574334,TV Series,8.6,60,2016,"Drama, Horror, Thriller, Sci-Fi, Mystery, Fantasy",1729765,"2016-07-15",
tt3581920,6,2025-07-07,"The Last of Us","The Last of Us",https://www.imdb.com/title/tt3581920,TV Series,8.4,50,2023,"Adventure, Horror, Drama, Thriller, Sci-Fi, Action",747111,"2023-01-15",
tt0499549,7,2025-07-07,"Avatar","Avatar",https://www.imdb.com/title/tt0499549,Movie,7.9,162,2009,"Sci-Fi, Action, Adventure, Fantasy",1512331,"2009-12-18","James Cameron"
tt1464335,4,2025-07-07,"Uncharted","Uncharted",https://www.imdb.com/title/tt1464335,Movie,6.3,116,2022,"Action, Adventure",306167,"2022-02-18","Ruben Fleischer"
tt6139732,6,2025-07-07,"Aladdin","Aladdin",https://www.imdb.com/title/tt6139732,Movie,6.9,128,2019,"Musical, Adventure, Fantasy, Romance, Family, Comedy",318273,"2019-05-24","Guy Ritchie"
tt1312171,7,2025-07-07,"The Umbrella Academy","The Umbrella Academy",https://www.imdb.com/title/tt1312171,TV Series,7.8,60,2019,"Action, Fantasy, Adventure, Comedy, Drama, Sci-Fi",317211,"2019-02-15",
tt2661044,6,2025-07-07,"The 100","The 100",https://www.imdb.com/title/tt2661044,TV Series,7.5,43,2014,"Sci-Fi, Drama, Action, Mystery",306970,"2014-03-19",
tt2234155,5,2025-07-07,"The Internship","The Internship",https://www.imdb.com/title/tt2234155,Movie,6.3,119,2013,"Comedy",228733,"2013-06-07","Shawn Levy"
tt31710249,3,2025-07-07,"Stick","Stick",https://www.imdb.com/title/tt31710249,TV Series,7.2,,2025,"Comedy, Sport",19896,"2025-06-04",
tt4158110,2,2025-07-07,"Mr. Robot","Mr. Robot",https://www.imdb.com/title/tt4158110,TV Series,8.5,45,2015,"Crime, Drama, Thriller",473000,"2015-06-24",
tt2283362,7,2025-07-07,"Jumanji: Welcome to the Jungle","Jumanji: Welcome to the Jungle",https://www.imdb.com/title/tt2283362,Movie,6.9,119,2017,"Adventure, Fantasy, Action, Comedy",509871,"2017-12-20","Jake Kasdan"
tt30317229,4,2025-07-07,"La Palma","La Palma",https://www.imdb.com/title/tt30317229,TV Mini Series,6.2,50,2024,"Drama",27220,"2024-12-12",
tt10187208,5,2025-07-07,"A Boy Called Christmas","A Boy Called Christmas",https://www.imdb.com/title/tt10187208,Movie,6.7,106,2021,"Family, Adventure, Drama, Fantasy",31441,"2021-11-24","Gil Kenan"
tt15407486,6,2025-07-07,"King of Stonks","King of Stonks",https://www.imdb.com/title/tt15407486,TV Mini Series,6.7,47,2022,"Drama, Thriller, Comedy",2012,"2022-07-06",
tt0119282,7,2025-07-07,"Hercules","Hercules",https://www.imdb.com/title/tt0119282,Movie,7.3,93,1997,"Animation, Musical, Fantasy, Romance, Comedy, Action, Adventure, Family",282846,"1997-06-27","Ron Clements,John Musker"
